file_path,thumbnail,width,height,page_no,set_key
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f012-i01-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f012-i01-p0001.jpg,1356,2048,1,dra037-s01-b001-f012-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f012-i01-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f012-i01-p0002.jpg,2048,1539,2,dra037-s01-b001-f012-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f012-i10-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f012-i10-p0001.jpg,1314,2048,1,dra037-s01-b001-f012-i10
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f012-i10-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f012-i10-p0002.jpg,2048,1586,2,dra037-s01-b001-f012-i10
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f012-i02-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f012-i02-p0001.jpg,1352,2048,1,dra037-s01-b001-f012-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f012-i02-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f012-i02-p0002.jpg,2048,1539,2,dra037-s01-b001-f012-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f012-i03-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f012-i03-p0001.jpg,1362,2048,1,dra037-s01-b001-f012-i03
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f012-i03-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f012-i03-p0002.jpg,2048,1533,2,dra037-s01-b001-f012-i03
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f012-i04-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f012-i04-p0001.jpg,1345,2048,1,dra037-s01-b001-f012-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f012-i04-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f012-i04-p0002.jpg,2048,1557,2,dra037-s01-b001-f012-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f012-i05-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f012-i05-p0001.jpg,810,2048,1,dra037-s01-b001-f012-i05
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f012-i06-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f012-i06-p0001.jpg,1315,2048,1,dra037-s01-b001-f012-i06
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f012-i06-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f012-i06-p0002.jpg,2048,1582,2,dra037-s01-b001-f012-i06
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f012-i07-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f012-i07-p0001.jpg,1430,2048,1,dra037-s01-b001-f012-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f012-i07-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f012-i07-p0002.jpg,2048,1451,2,dra037-s01-b001-f012-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f012-i07-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f012-i07-p0003.jpg,1435,2048,3,dra037-s01-b001-f012-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f012-i08-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f012-i08-p0001.jpg,1321,2048,1,dra037-s01-b001-f012-i08
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f012-i08-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f012-i08-p0002.jpg,2048,1569,2,dra037-s01-b001-f012-i08
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f012-i08-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f012-i08-p0003.jpg,1324,2048,3,dra037-s01-b001-f012-i08
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f012-i09-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f012-i09-p0001.jpg,1314,2048,1,dra037-s01-b001-f012-i09
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f012-i09-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f012-i09-p0002.jpg,2048,1573,2,dra037-s01-b001-f012-i09
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f012-i09-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f012-i09-p0003.jpg,1318,2048,3,dra037-s01-b001-f012-i09
